seconds,b1
float,int
,
0.19957386363636365,1156
0.3991477272727273,15
0.5987215909090908,21
0.7982954545454546,46
0.9978693181818181,0
1.1974431818181817,0
1.3970170454545454,0
1.5965909090909092,0
1.796164772727273,0
1.9957386363636362,0
2.1953125,0
2.3948863636363633,0
2.5944602272727275,0
2.794034090909091,98
2.993607954545454,4312
3.1931818181818183,20
3.3927556818181817,50
3.592329545454546,0
3.791903409090909,6
3.9914772727272725,9
4.191051136363637,108
4.390625,273
4.590198863636363,586
4.789772727272727,214
4.989346590909092,235
5.188920454545455,139
5.388494318181818,402
5.588068181818182,191
5.787642045454545,757
5.987215909090908,739
6.186789772727273,188
6.386363636363637,579
6.5859375,425
6.785511363636363,744
6.985085227272727,429
7.184659090909092,328
7.384232954545455,1294
7.583806818181818,702
7.783380681818182,117
7.982954545454545,57
8.182528409090908,83
8.382102272727273,422
8.581676136363637,492
8.78125,162
8.980823863636363,501
9.180397727272727,254
9.37997159090909,544
9.579545454545453,463
9.779119318181817,213
9.978693181818183,612
10.178267045454547,7577
10.37784090909091,2491
10.577414772727273,283
10.776988636363637,1583
10.9765625,4042
11.176136363636363,391
11.375710227272727,30
11.57528409090909,161
11.774857954545453,75
11.974431818181817,0
12.174005681818183,0
12.373579545454547,0
12.57315340909091,546
12.772727272727273,316
12.972301136363637,382
13.171875,548
13.371448863636363,174
13.571022727272727,523
13.77059659090909,296
13.970170454545453,95
14.169744318181817,246
14.369318181818183,167
14.568892045454547,695
14.76846590909091,377
14.968039772727273,110
15.167613636363637,454
15.3671875,315
15.566761363636363,180
15.766335227272727,500
15.96590909090909,248
16.165482954545453,49
16.365056818181817,0
16.564630681818183,524
16.764204545454547,1425
16.96377840909091,534
17.163352272727273,558
17.362926136363637,509
17.5625,411
17.762073863636367,621
17.961647727272727,261
18.161221590909093,252
18.360795454545453,289
18.56036931818182,86
18.75994318181818,515
18.959517045454547,300
19.159090909090907,166
19.358664772727273,467
19.558238636363633,217
19.7578125,175
19.957386363636367,247
20.156960227272727,14
20.356534090909093,1
20.556107954545453,0
20.75568181818182,29
20.95525568181818,207
21.154829545454547,80
21.354403409090907,254
21.553977272727273,71
21.753551136363633,69
21.953125,530
22.152698863636367,304
22.352272727272727,609
22.551846590909093,568
22.751420454545453,196
22.95099431818182,792
23.15056818181818,392
23.350142045454547,646
23.549715909090907,815
23.749289772727273,211
23.948863636363633,591
24.1484375,312
24.348011363636367,115
24.547585227272727,3
24.747159090909093,0
24.946732954545453,537
25.14630681818182,390
25.34588068181818,142
25.545454545454547,313
25.745028409090907,354
25.944602272727273,666
26.144176136363633,475
26.34375,211
26.543323863636367,488
26.742897727272727,261
26.942471590909093,131
27.142045454545453,309
27.34161931818182,281
27.54119318181818,370
27.740767045454547,386
27.940340909090907,211
28.139914772727273,185
28.339488636363633,133
28.5390625,17
28.738636363636367,5
28.938210227272727,0
29.137784090909093,0
29.337357954545453,0
29.53693181818182,0
29.73650568181818,0
29.936079545454547,0
30.135653409090907,0
30.335227272727273,6
30.534801136363633,12
30.734375,22
30.933948863636367,80
31.133522727272727,185
31.333096590909093,152
31.532670454545453,44
31.73224431818182,54
31.93181818181818,2
32.13139204545455,47
32.33096590909091,0
32.53053977272727,8
32.73011363636363,0
32.9296875,163
33.12926136363637,0
33.32883522727273,24
33.52840909090909,3
33.72798295454545,1
33.92755681818182,31
34.12713068181818,614
34.32670454545455,1860
34.52627840909091,2801
34.72585227272727,2990
34.92542613636363,1164
35.125,1012
35.32457386363636,1034
35.524147727272734,921
35.72372159090909,434
35.92329545454545,182
36.12286931818181,99
36.32244318181819,38
36.52201704545455,1
36.72159090909091,102
36.921164772727266,304
37.12073863636364,513
37.3203125,34
37.51988636363636,3
37.719460227272734,0
37.91903409090909,0
38.11860795454545,0
38.31818181818181,0
38.51775568181819,13
38.71732954545455,0
38.91690340909091,0
39.116477272727266,137
39.31605113636364,2
39.515625,11
39.71519886363636,0
39.914772727272734,0
40.11434659090909,51
40.31392045454545,11
40.51349431818181,68
40.71306818181819,173
40.91264204545455,319
41.11221590909091,0
41.311789772727266,12
41.51136363636364,16
41.7109375,0
41.91051136363636,227
42.110085227272734,1
42.30965909090909,0
42.50923295454545,0
42.70880681818181,1
42.90838068181819,0
43.10795454545455,35
43.30752840909091,0
43.507102272727266,7
43.70667613636364,46
43.90625,0
44.10582386363636,104
44.305397727272734,40
44.50497159090909,0
44.70454545454545,9
44.90411931818181,0
45.10369318181819,27
45.30326704545455,31
45.50284090909091,1879
45.702414772727266,2834
