seconds,anomalyScore,b3,predicted,anomalyLikelihood
0.19957386363636365,1.0,7825,7825.0,0.5
0.3991477272727273,1.0,0,0.0,0.5
0.5987215909090908,1.0,46,46.0,0.5
0.7982954545454546,1.0,15,15.0,0.5
0.9978693181818181,1.0,0,0.0,0.5
1.1974431818181817,1.0,0,0.0,0.5
1.3970170454545454,1.0,0,0.0,0.5
1.5965909090909092,1.0,0,0.0,0.5
1.796164772727273,1.0,0,0.0,0.5
1.9957386363636362,1.0,0,0.0,0.5
2.1953125,1.0,0,0.0,0.5
2.3948863636363633,1.0,0,0.0,0.5
2.5944602272727275,1.0,0,0.0,0.5
2.794034090909091,1.0,3994,3994.0,0.5
2.993607954545454,1.0,12012,12012.0,0.5
3.1931818181818183,1.0,22,22.0,0.5
3.3927556818181817,0.975,88,88.0,0.5
3.592329545454546,1.0,0,0.0,0.5
3.791903409090909,1.0,22,22.0,0.5
3.9914772727272725,1.0,9,9.0,0.5
4.191051136363637,1.0,1,1.0,0.5
4.390625,1.0,466,466.0,0.5
4.590198863636363,1.0,49,49.0,0.5
4.789772727272727,1.0,17,17.0,0.5
4.989346590909092,1.0,112,112.0,0.5
5.188920454545455,1.0,31,31.0,0.5
5.388494318181818,1.0,0,0.0,0.5
5.588068181818182,1.0,48,48.0,0.5
5.787642045454545,1.0,194,194.0,0.5
5.987215909090908,1.0,124,124.0,0.5
6.186789772727273,1.0,1,1.0,0.5
6.386363636363637,1.0,7,7.0,0.5
6.5859375,1.0,44,44.0,0.5
6.785511363636363,1.0,0,0.0,0.5
6.985085227272727,0.975,4,4.0,0.5
7.184659090909092,1.0,72,72.0,0.5
7.384232954545455,1.0,213,213.0,0.5
7.583806818181818,1.0,98,98.0,0.5
7.783380681818182,1.0,16,16.0,0.5
7.982954545454545,1.0,215,215.0,0.5
8.182528409090908,1.0,26,26.0,0.5
8.382102272727273,1.0,0,0.0,0.5
8.581676136363637,1.0,0,0.0,0.5
8.78125,1.0,5,5.0,0.5
8.980823863636363,1.0,29,29.0,0.5
9.180397727272727,1.0,0,0.0,0.5
9.37997159090909,1.0,0,0.0,0.5
9.579545454545453,1.0,3,3.0,0.5
9.779119318181817,1.0,24,24.0,0.5
9.978693181818183,1.0,33,33.0,0.5
10.178267045454547,1.0,6857,6857.0,0.5
10.37784090909091,1.0,2107,2107.0,0.5
10.577414772727273,1.0,62,62.0,0.5
10.776988636363637,1.0,79,79.0,0.5
10.9765625,1.0,225,102.08799999999997,0.5
11.176136363636363,1.0,46,46.0,0.5
11.375710227272727,1.0,21,53.786461381299986,0.5
11.57528409090909,1.0,31,31.0,0.5
11.774857954545453,1.0,3,3.0,0.5
11.974431818181817,1.0,15,15.0,0.5
12.174005681818183,1.0,0,0.0,0.5
12.373579545454547,1.0,0,0.0,0.5
12.57315340909091,1.0,25,46.950522966909986,0.5
12.772727272727273,1.0,3,3.0,0.5
12.972301136363637,1.0,36,36.0,0.5
13.171875,1.0,10,10.0,0.5
13.371448863636363,1.0,0,0.0,0.5
13.571022727272727,1.0,46,46.0,0.5
13.77059659090909,1.0,67,67.0,0.5
13.970170454545453,1.0,20,20.0,0.5
14.169744318181817,1.0,0,0.0,0.5
14.369318181818183,1.0,0,0.0,0.5
14.568892045454547,1.0,174,174.0,0.5
14.76846590909091,1.0,2,2.0,0.5
14.968039772727273,1.0,3,3.0,0.5
15.167613636363637,1.0,55,55.0,0.5
15.3671875,1.0,10,10.0,0.5
15.566761363636363,1.0,3,3.0,0.5
15.766335227272727,1.0,64,52.30922056435508,0.5
15.96590909090909,0.975,122,122.0,0.5
16.165482954545453,1.0,36,36.0,0.5
16.365056818181817,1.0,0,0.0,0.5
16.564630681818183,1.0,2,49.87151807653398,0.5
16.764204545454547,1.0,36,36.0,0.5
16.96377840909091,1.0,50,50.0,0.5
17.163352272727273,1.0,38,38.0,0.5
17.362926136363637,1.0,0,0.0,0.5
17.5625,1.0,49,49.0,0.5
17.762073863636367,1.0,42,42.0,0.5
17.961647727272727,1.0,40,44.59598604312306,0.5
18.161221590909093,1.0,2,2.0,0.5
18.360795454545453,1.0,52,52.0,0.5
18.56036931818182,1.0,41,41.0,0.5
18.75994318181818,1.0,2,44.3964232127912,0.5
18.959517045454547,1.0,65,44.3964232127912,0.5
19.159090909090907,1.0,30,50.577496248953835,0.5
19.358664772727273,1.0,17,44.40424737426768,0.5
19.558238636363633,1.0,26,44.40424737426768,0.5
19.7578125,1.0,6,6.0,0.5
19.957386363636367,1.0,7,44.40424737426768,0.5
20.156960227272727,1.0,0,0.0,0.5
20.356534090909093,1.0,4,4.0,0.5
