seconds,b2,anomalyScore,predicted,anomalyLikelihood
0.19957386363636365,2766,1.0,2766.0,0.5
0.3991477272727273,0,1.0,0.0,0.5
0.5987215909090908,18,1.0,18.0,0.5
0.7982954545454546,34,1.0,34.0,0.5
0.9978693181818181,0,1.0,0.0,0.5
1.1974431818181817,0,1.0,0.0,0.5
1.3970170454545454,0,1.0,0.0,0.5
1.5965909090909092,0,1.0,0.0,0.5
1.796164772727273,0,1.0,0.0,0.5
1.9957386363636362,0,1.0,0.0,0.5
2.1953125,0,1.0,0.0,0.5
2.3948863636363633,0,1.0,0.0,0.5
2.5944602272727275,1,0.85,1.0,0.5
2.794034090909091,3907,1.0,3907.0,0.5
2.993607954545454,7333,1.0,7333.0,0.5
3.1931818181818183,20,1.0,20.0,0.5
3.3927556818181817,29,1.0,29.0,0.5
3.592329545454546,0,1.0,0.0,0.5
3.791903409090909,25,1.0,25.0,0.5
3.9914772727272725,4,1.0,4.0,0.5
4.191051136363637,0,1.0,0.0,0.5
4.390625,246,0.975,246.0,0.5
4.590198863636363,140,1.0,140.0,0.5
4.789772727272727,23,1.0,32.5,0.5
4.989346590909092,191,1.0,191.0,0.5
5.188920454545455,64,1.0,64.0,0.5
5.388494318181818,76,1.0,76.0,0.5
5.588068181818182,50,1.0,50.0,0.5
5.787642045454545,250,1.0,250.0,0.5
5.987215909090908,241,0.9,241.0,0.5
6.186789772727273,12,1.0,12.0,0.5
6.386363636363637,311,1.0,311.0,0.5
6.5859375,135,1.0,135.0,0.5
6.785511363636363,354,1.0,354.0,0.5
6.985085227272727,165,1.0,165.0,0.5
7.184659090909092,112,1.0,112.0,0.5
7.384232954545455,306,1.0,306.0,0.5
7.583806818181818,222,1.0,222.0,0.5
7.783380681818182,27,1.0,27.0,0.5
7.982954545454545,143,1.0,143.0,0.5
8.182528409090908,61,1.0,44.160849999999996,0.5
8.382102272727273,61,1.0,309.5,0.5
8.581676136363637,65,0.975,65.0,0.5
8.78125,16,1.0,16.0,0.5
8.980823863636363,59,1.0,59.0,0.5
9.180397727272727,23,1.0,23.0,0.5
9.37997159090909,0,1.0,200.29999999999998,0.5
9.579545454545453,43,0.925,57.19692008499999,0.5
9.779119318181817,114,0.975,52.93784405949999,0.5
9.978693181818183,55,1.0,52.93784405949999,0.5
10.178267045454547,9312,1.0,9312.0,0.5
10.37784090909091,4316,1.0,4316.0,0.5
10.577414772727273,51,1.0,51.0,0.5
10.776988636363637,148,0.975,52.78954358915499,0.5
10.9765625,948,1.0,948.0,0.5
11.176136363636363,118,1.0,52.78954358915499,0.5
11.375710227272727,7,1.0,52.78954358915499,0.5
11.57528409090909,43,1.0,43.0,0.5
11.774857954545453,3,0.875,49.85268051240849,0.5
11.974431818181817,23,0.975,23.0,0.5
12.174005681818183,0,1.0,49.85268051240849,0.5
12.373579545454547,0,0.975,0.0,0.5
12.57315340909091,198,0.975,49.85268051240849,0.5
12.772727272727273,133,1.0,133.0,0.5
12.972301136363637,243,1.0,142.23334999999997,0.5
13.171875,324,0.975,324.0,0.5
13.371448863636363,21,0.975,21.0,0.5
13.571022727272727,147,1.0,244.63799999999998,0.5
13.77059659090909,84,1.0,84.0,0.5
13.970170454545453,25,1.0,25.0,0.5
14.169744318181817,57,0.975,57.0,0.5
14.369318181818183,63,1.0,63.0,0.5
14.568892045454547,34,1.0,55.29781345108015,0.5
14.76846590909091,6,0.975,6.0,0.5
