seconds,b1,anomalyScore,predicted,anomalyLikelihood
0.19957386363636365,1156,1.0,1156.0,0.5
0.3991477272727273,15,1.0,15.0,0.5
0.5987215909090908,21,1.0,21.0,0.5
0.7982954545454546,46,1.0,46.0,0.5
0.9978693181818181,0,1.0,0.0,0.5
1.1974431818181817,0,1.0,0.0,0.5
1.3970170454545454,0,1.0,0.0,0.5
1.5965909090909092,0,1.0,0.0,0.5
1.796164772727273,0,1.0,0.0,0.5
1.9957386363636362,0,1.0,0.0,0.5
2.1953125,0,1.0,0.0,0.5
2.3948863636363633,0,1.0,0.0,0.5
2.5944602272727275,0,1.0,0.0,0.5
2.794034090909091,98,1.0,98.0,0.5
2.993607954545454,4312,1.0,4312.0,0.5
3.1931818181818183,20,1.0,20.0,0.5
3.3927556818181817,50,1.0,50.0,0.5
3.592329545454546,0,1.0,0.0,0.5
3.791903409090909,6,1.0,6.0,0.5
3.9914772727272725,9,1.0,9.0,0.5
4.191051136363637,108,1.0,108.0,0.5
4.390625,273,1.0,273.0,0.5
4.590198863636363,586,1.0,586.0,0.5
4.789772727272727,214,1.0,214.0,0.5
4.989346590909092,235,1.0,235.0,0.5
5.188920454545455,139,1.0,139.0,0.5
5.388494318181818,402,1.0,402.0,0.5
5.588068181818182,191,1.0,191.0,0.5
5.787642045454545,757,1.0,757.0,0.5
5.987215909090908,739,1.0,739.0,0.5
6.186789772727273,188,1.0,188.0,0.5
6.386363636363637,579,1.0,579.0,0.5
6.5859375,425,1.0,425.0,0.5
6.785511363636363,744,1.0,744.0,0.5
6.985085227272727,429,1.0,429.0,0.5
7.184659090909092,328,1.0,328.0,0.5
7.384232954545455,1294,1.0,1294.0,0.5
7.583806818181818,702,1.0,702.0,0.5
7.783380681818182,117,1.0,117.0,0.5
7.982954545454545,57,1.0,57.0,0.5
8.182528409090908,83,1.0,83.0,0.5
8.382102272727273,422,1.0,422.0,0.5
8.581676136363637,492,1.0,492.0,0.5
8.78125,162,1.0,162.0,0.5
8.980823863636363,501,1.0,501.0,0.5
9.180397727272727,254,1.0,254.0,0.5
9.37997159090909,544,1.0,544.0,0.5
9.579545454545453,463,1.0,463.0,0.5
9.779119318181817,213,1.0,213.0,0.5
9.978693181818183,612,1.0,612.0,0.5
10.178267045454547,7577,1.0,7577.0,0.5
10.37784090909091,2491,1.0,2491.0,0.5
10.577414772727273,283,1.0,283.0,0.5
10.776988636363637,1583,1.0,1583.0,0.5
10.9765625,4042,1.0,4042.0,0.5
11.176136363636363,391,1.0,391.0,0.5
11.375710227272727,30,1.0,98.95999999999998,0.5
11.57528409090909,161,0.95,161.0,0.5
11.774857954545453,75,1.0,75.0,0.5
11.974431818181817,0,0.975,0.0,0.5
12.174005681818183,0,0.975,0.0,0.5
12.373579545454547,0,1.0,0.0,0.5
12.57315340909091,546,1.0,546.0,0.5
12.772727272727273,316,1.0,316.0,0.5
12.972301136363637,382,1.0,382.0,0.5
13.171875,548,1.0,548.0,0.5
13.371448863636363,174,1.0,53.36859999999999,0.5
13.571022727272727,523,0.975,523.0,0.5
13.77059659090909,296,0.975,296.0,0.5
13.970170454545453,95,1.0,95.0,0.5
14.169744318181817,246,1.0,246.0,0.5
14.369318181818183,167,1.0,167.0,0.5
14.568892045454547,695,1.0,695.0,0.5
14.76846590909091,377,1.0,377.0,0.5
14.968039772727273,110,1.0,110.0,0.5
15.167613636363637,454,1.0,454.0,0.5
15.3671875,315,1.0,315.0,0.5
15.566761363636363,180,1.0,180.0,0.5
15.766335227272727,500,0.925,500.0,0.5
15.96590909090909,248,1.0,248.0,0.5
16.165482954545453,49,1.0,49.0,0.5
16.365056818181817,0,0.9,0.0,0.5
16.564630681818183,524,1.0,524.0,0.5
16.764204545454547,1425,1.0,1425.0,0.5
16.96377840909091,534,0.95,534.0,0.5
17.163352272727273,558,1.0,558.0,0.5
17.362926136363637,509,1.0,509.0,0.5
17.5625,411,1.0,411.0,0.5
17.762073863636367,621,1.0,621.0,0.5
17.961647727272727,261,1.0,166.24549,0.5
18.161221590909093,252,0.975,166.24549,0.5
18.360795454545453,289,1.0,289.0,0.5
18.56036931818182,86,1.0,483.08309999999994,0.5
18.75994318181818,515,0.925,515.0,0.5
18.959517045454547,300,0.65,300.0,0.5
19.159090909090907,166,1.0,483.08309999999994,0.5
19.358664772727273,467,0.6,467.0,0.5
19.558238636363633,217,1.0,217.0,0.5
19.7578125,175,1.0,478.25816999999995,0.5
19.957386363636367,247,1.0,247.0,0.5
20.156960227272727,14,0.925,523.1816434,0.5
20.356534090909093,1,0.65,523.1816434,0.5
20.556107954545453,0,0.85,0.0,0.5
20.75568181818182,29,0.95,29.0,0.5
20.95525568181818,207,0.95,207.0,0.5
21.154829545454547,80,0.95,260.95961048999993,0.5
21.354403409090907,254,0.6,260.95961048999993,0.5
21.553977272727273,71,0.65,71.0,0.5
21.753551136363633,69,1.0,69.0,0.5
21.953125,530,1.0,530.0,0.5
22.152698863636367,304,0.475,304.0,0.5
22.352272727272727,609,0.975,525.22715038,0.5
22.551846590909093,568,0.9,568.0,0.5
22.751420454545453,196,1.0,168.82029009999997,0.5
22.95099431818182,792,1.0,792.0,0.5
23.15056818181818,392,1.0,392.0,0.5
23.350142045454547,646,1.0,646.0,0.5
23.549715909090907,815,1.0,815.0,0.5
23.749289772727273,211,0.95,91.76579599999998,0.5
23.948863636363633,591,0.975,580.5937,0.5
24.1484375,312,1.0,583.71559,0.5
24.348011363636367,115,0.725,258.8717273429999,0.5
24.547585227272727,3,1.0,57.72890085999998,0.5
24.747159090909093,0,0.25,57.72890085999998,0.5
24.946732954545453,537,0.85,537.0,0.5
25.14630681818182,390,0.8,624.0899999999999,0.5
25.34588068181818,142,0.925,478.25816999999995,0.5
25.545454545454547,313,0.875,160.77420306999997,0.5
25.745028409090907,354,0.9,160.77420306999997,0.5
25.944602272727273,666,0.9,666.0,0.5
26.144176136363633,475,0.925,475.0,0.5
26.34375,211,0.65,211.0,0.5
26.543323863636367,488,0.975,310.7574016,0.5
26.742897727272727,261,0.575,57.72890085999998,0.5
26.942471590909093,131,0.775,528.759005266,0.5
27.142045454545453,309,0.75,377.7481299999999,0.5
27.34161931818182,281,0.825,108.41524003999997,0.5
27.54119318181818,370,0.95,370.0,0.5
27.740767045454547,386,0.975,386.0,0.5
27.940340909090907,211,0.95,480.4965033,0.5
28.139914772727273,185,0.975,310.23018112,0.5
28.339488636363633,133,0.925,133.0,0.5
28.5390625,17,0.875,528.759005266,0.5
28.738636363636367,5,0.2,528.759005266,0.5
28.938210227272727,0,0.2,0.0,0.5
29.137784090909093,0,0.4,0.0,0.5
29.337357954545453,0,0.5,0.0,0.5
29.53693181818182,0,0.45,0.0,0.5
29.73650568181818,0,0.7,0.0,0.5
29.936079545454547,0,0.65,0.0,0.5
30.135653409090907,0,0.975,0.0,0.5
30.335227272727273,6,0.875,6.0,0.5
30.534801136363633,12,0.85,12.0,0.5
30.734375,22,0.8,22.0,0.5
30.933948863636367,80,0.95,310.23018112,0.5
31.133522727272727,185,0.725,185.0,0.5
31.333096590909093,152,0.9,152.0,0.5
31.532670454545453,44,0.85,209.00265121509995,0.5
31.73224431818182,54,1.0,54.0,0.5
31.93181818181818,2,0.95,2.0,0.5
32.13139204545455,47,0.725,47.0,0.5
32.33096590909091,0,0.475,51.709012994979986,0.5
32.53053977272727,8,0.375,51.709012994979986,0.5
32.73011363636363,0,0.65,0.0,0.5
32.9296875,163,0.975,51.709012994979986,0.5
33.12926136363637,0,0.6,162.0475703099749,0.5
33.32883522727273,24,0.35,162.0475703099749,0.5
33.52840909090909,3,0.425,3.0,0.5
33.72798295454545,1,0.475,1.0,0.5
33.92755681818182,31,0.85,31.0,0.5
34.12713068181818,614,1.0,265.95714639806994,0.5
34.32670454545455,1860,0.95,1860.0,0.5
34.52627840909091,2801,1.0,2801.0,0.5
34.72585227272727,2990,1.0,2990.0,0.5
34.92542613636363,1164,1.0,1164.0,0.5
35.125,1012,1.0,1012.0,0.5
35.32457386363636,1034,1.0,1034.0,0.5
35.524147727272734,921,0.975,921.0,0.5
35.72372159090909,434,0.975,265.95714639806994,0.5
35.92329545454545,182,0.925,182.0,0.5
36.12286931818181,99,0.575,168.0332992169824,0.5
36.32244318181819,38,0.8,38.0,0.5
36.52201704545455,1,0.4,43.24741636754019,0.5
36.72159090909091,102,0.7,43.24741636754019,0.5
36.921164772727266,304,0.575,265.95714639806994,0.5
37.12073863636364,513,0.9,378.59658369999994,0.5
37.3203125,34,0.85,100.33642733371997,0.5
37.51988636363636,3,0.225,100.33642733371997,0.5
37.719460227272734,0,0.075,100.33642733371997,0.5
37.91903409090909,0,0.1,0.0,0.5
38.11860795454545,0,0.1,0.0,0.5
38.31818181818181,0,0.2,0.0,0.5
38.51775568181819,13,0.25,13.0,0.5
38.71732954545455,0,0.225,0.0,0.5
38.91690340909091,0,0.225,40.47319145727813,0.5
39.116477272727266,137,0.9,100.33642733371997,0.5
39.31605113636364,2,0.25,158.72330945188767,0.5
39.515625,11,0.15,158.72330945188767,0.5
39.71519886363636,0,0.275,0.0,0.5
39.914772727272734,0,0.075,0.0,0.5
40.11434659090909,51,0.675,51.0,0.5
40.31392045454545,11,0.45,43.63123402009469,0.5
40.51349431818181,68,0.175,68.0,0.5
40.71306818181819,173,0.9,173.0,0.5
40.91264204545455,319,0.75,100.33642733371997,0.5
41.11221590909091,0,0.85,50.94186381406628,0.5
41.311789772727266,12,0.025,12.0,0.5
41.51136363636364,16,0.05,16.0,0.5
41.7109375,0,0.1,0.0,0.5
41.91051136363636,227,0.975,163.00631661632136,0.5
42.110085227272734,1,0.875,214.40185585056994,0.5
42.30965909090909,0,0.15,214.40185585056994,0.5
42.50923295454545,0,0.1,0.0,0.5
42.70880681818181,1,0.0,1.0,0.5
42.90838068181819,0,0.075,0.0,0.5
43.10795454545455,35,0.475,163.00631661632136,0.5
43.30752840909091,0,0.25,46.15930466984639,0.5
43.507102272727266,7,0.15,7.0,0.5
43.70667613636364,46,0.375,46.0,0.5
43.90625,0,0.125,46.11151326889247,0.5
44.10582386363636,104,0.525,311.55278874879997,0.5
44.305397727272734,40,0.45,40.0,0.5
44.50497159090909,0,0.025,101.43549913360397,0.5
44.70454545454545,9,0.0,101.43549913360397,0.5
44.90411931818181,0,0.05,0.0,0.5
45.10369318181819,27,0.575,163.00631661632136,0.5
45.30326704545455,31,0.625,163.00631661632136,0.5
45.50284090909091,1879,1.0,1879.0,0.5
45.702414772727266,2834,0.1,2834.0,0.5
45.90198863636364,1708,1.0,1708.0,0.5
46.1015625,1357,1.0,689.7299999999999,0.5
46.30113636363636,1795,1.0,1795.0,0.5
46.500710227272734,434,1.0,311.55278874879997,0.5
46.70028409090909,192,0.625,36.66624905123011,0.5
46.89985795454545,729,0.9,311.55278874879997,0.5
47.09943181818181,152,0.975,311.55278874879997,0.5
47.29900568181819,10,0.225,10.0,0.5
47.49857954545455,97,0.775,36.66624905123011,0.5
47.69815340909091,117,0.425,36.66624905123011,0.5
47.897727272727266,991,1.0,991.0,0.5
48.09730113636364,705,0.875,705.0,0.5
48.296875,918,1.0,424.8054929999999,0.5
48.49644886363636,1030,1.0,1034.0,0.5
48.696022727272734,1,1.0,36.66624905123011,0.5
48.89559659090909,91,0.075,1012.99,0.5
49.09517045454545,169,0.225,169.0,0.5
49.29474431818181,151,0.275,151.0,0.5
49.49431818181819,1197,0.925,1012.99,0.5
49.69389204545455,18,0.775,18.0,0.5
49.89346590909091,9,0.025,9.0,0.5
