seconds,b0
float,int
,
0.19957386363636365,2462
0.3991477272727273,361
0.5987215909090908,2205
0.7982954545454546,1876
0.9978693181818181,148
1.1974431818181817,169
1.3970170454545454,1638
1.5965909090909092,177
1.796164772727273,87
1.9957386363636362,80
2.1953125,99
2.3948863636363633,54
2.5944602272727275,55
2.794034090909091,1573
2.993607954545454,4745
3.1931818181818183,418
3.3927556818181817,619
3.592329545454546,266
3.791903409090909,851
3.9914772727272725,256
4.191051136363637,2975
4.390625,3714
4.590198863636363,3048
4.789772727272727,3487
4.989346590909092,2577
5.188920454545455,3099
5.388494318181818,3019
5.588068181818182,1973
5.787642045454545,4293
5.987215909090908,2944
6.186789772727273,1887
6.386363636363637,3022
6.5859375,2105
6.785511363636363,3709
6.985085227272727,2846
7.184659090909092,2095
7.384232954545455,4261
7.583806818181818,3317
7.783380681818182,1782
7.982954545454545,966
8.182528409090908,993
8.382102272727273,4009
8.581676136363637,4020
8.78125,2433
8.980823863636363,4208
9.180397727272727,3344
9.37997159090909,4157
9.579545454545453,3611
9.779119318181817,2807
9.978693181818183,4597
10.178267045454547,6892
10.37784090909091,4254
10.577414772727273,3966
10.776988636363637,3969
10.9765625,10369
11.176136363636363,3448
11.375710227272727,2009
11.57528409090909,3425
11.774857954545453,2324
11.974431818181817,1784
12.174005681818183,1102
12.373579545454547,870
12.57315340909091,3395
12.772727272727273,2430
12.972301136363637,3152
13.171875,2846
13.371448863636363,1860
13.571022727272727,4344
13.77059659090909,3014
13.970170454545453,2024
14.169744318181817,3082
14.369318181818183,2454
14.568892045454547,4178
14.76846590909091,3190
14.968039772727273,2247
15.167613636363637,3697
15.3671875,2820
15.566761363636363,3813
15.766335227272727,3741
15.96590909090909,2668
16.165482954545453,1524
16.365056818181817,800
16.564630681818183,1555
16.764204545454547,3441
16.96377840909091,2377
17.163352272727273,3792
17.362926136363637,2819
17.5625,2185
17.762073863636367,3947
17.961647727272727,3023
18.161221590909093,3165
18.360795454545453,3350
18.56036931818182,2458
18.75994318181818,4325
18.959517045454547,2885
19.159090909090907,2417
19.358664772727273,3384
19.558238636363633,2745
19.7578125,4217
19.957386363636367,3491
20.156960227272727,2169
20.356534090909093,1261
20.556107954545453,848
20.75568181818182,2407
20.95525568181818,3505
21.154829545454547,2676
21.354403409090907,4088
21.553977272727273,2926
21.753551136363633,2794
21.953125,3704
22.152698863636367,2253
22.352272727272727,4007
22.551846590909093,2863
22.751420454545453,1808
22.95099431818182,3590
23.15056818181818,2509
23.350142045454547,3576
23.549715909090907,3053
23.749289772727273,2021
23.948863636363633,3852
24.1484375,2428
24.348011363636367,1700
24.547585227272727,834
24.747159090909093,719
24.946732954545453,4194
25.14630681818182,3301
25.34588068181818,2180
25.545454545454547,3503
25.745028409090907,2786
25.944602272727273,4123
26.144176136363633,3631
26.34375,2550
26.543323863636367,3850
26.742897727272727,3068
26.942471590909093,2492
27.142045454545453,3980
27.34161931818182,2946
27.54119318181818,4755
27.740767045454547,3385
27.940340909090907,2389
28.139914772727273,3822
28.339488636363633,2778
28.5390625,1908
28.738636363636367,1684
28.938210227272727,1066
29.137784090909093,752
29.337357954545453,610
29.53693181818182,631
29.73650568181818,322
29.936079545454547,398
30.135653409090907,3082
30.335227272727273,2852
30.534801136363633,1768
30.734375,3057
30.933948863636367,1941
31.133522727272727,4449
31.333096590909093,2904
31.532670454545453,2264
31.73224431818182,3406
31.93181818181818,2499
32.13139204545455,3636
32.33096590909091,3072
32.53053977272727,2190
32.73011363636363,3797
32.9296875,2552
33.12926136363637,2131
33.32883522727273,3233
33.52840909090909,2545
33.72798295454545,1705
33.92755681818182,1060
34.12713068181818,2632
34.32670454545455,6320
34.52627840909091,5959
34.72585227272727,5803
34.92542613636363,4870
35.125,4577
35.32457386363636,5723
35.524147727272734,4414
35.72372159090909,3689
35.92329545454545,3523
36.12286931818181,2533
36.32244318181819,3966
36.52201704545455,3117
36.72159090909091,2669
36.921164772727266,4051
37.12073863636364,2971
37.3203125,3247
37.51988636363636,3213
37.719460227272734,1813
37.91903409090909,1567
38.11860795454545,812
38.31818181818181,2124
38.51775568181819,3342
38.71732954545455,2151
38.91690340909091,3120
39.116477272727266,2505
39.31605113636364,1359
39.515625,3308
39.71519886363636,1947
39.914772727272734,2333
40.11434659090909,3121
40.31392045454545,2157
40.51349431818181,3934
40.71306818181819,2842
40.91264204545455,2305
41.11221590909091,3218
41.311789772727266,2347
41.51136363636364,3324
41.7109375,3141
41.91051136363636,2121
42.110085227272734,1115
42.30965909090909,1062
